text,intent
I need my package by tomorrow but it's delayed,delivery_delay
"Have a nice day, bye",goodbye
What hours is the live chat available,business_hours
I need to be refunded for a duplicate charge,refund_request
My refund was approved but not yet received,refund_status
What stores carry your products,store_location
The search function is broken,technical_support
I ordered two items but only received one,order_status
Good day,greeting
I want to visit your store,store_location
You sent me the wrong product,wrong_product
Will I get a refund if I cancel now,subscription_cancel
Can you tell my fortune,unknown
What are your hours on Sunday,business_hours
What day is it today,unknown
Do you have a store locator,store_location
What time does customer support start,business_hours
I will never buy from you again,complaint
My delivery is delayed,delivery_delay
Can I get an ETA on my delivery,order_status
How do I cook pasta,unknown
The courier hasn't delivered my package,delivery_delay
Is email support available on weekends,business_hours
"My refund request was denied, can you help",refund_request
That's it for now,goodbye
I want to cancel because I found it cheaper elsewhere,order_cancel
The delivery has been delayed for days,delivery_delay
My order arrived and everything inside was broken,damaged_product
Is support available at night,business_hours
Can I get a refund if I lost the receipt,refund_request
My payment is not going through,payment_failed
I want to cancel and get a refund,order_cancel
Do you have a service center near me,store_location
I expected much better from your company,complaint
What's the safest payment method,payment_methods
I want to add the premium support package,subscription_upgrade
I need a new password,password_reset
Can you check on my delivery,order_status
I want to cancel my order,order_cancel
I need to cancel before the next billing,subscription_cancel
Can I pause instead of cancelling,subscription_cancel
How tall is Mount Everest,unknown
My order hasn't arrived yet,order_status
Can I get a trial of the upgraded plan,subscription_upgrade
Which mall are you located in,store_location
I need my order but it's delayed,delivery_delay
I changed my password but still can't log in,password_reset
Can I call and speak to someone,human_agent
I can't update my account information,account_problem
I need a password reset urgently,password_reset
I need to cancel my annual subscription,subscription_cancel
Please check on my recent purchase,order_status
Bye,goodbye
"I've returned the product, now I need my refund",refund_request
My old password doesn't work anymore,password_reset
"Thanks, you've been very helpful",thank_you
When are your busiest hours,business_hours
This is the worst experience ever,complaint
Please tell me my refund has been sent,refund_status
The courier attempted delivery but I wasn't notified,delivery_delay
I got an expired product,wrong_product
The wrong accessories were included,wrong_product
When do you close,business_hours
What's the meaning of life,unknown
"Bye, have a great evening",goodbye
A human will understand my problem better,human_agent
How long does the refund process take,refund_status
Thank you,thank_you
I can't find where to cancel,subscription_cancel
Signing off,goodbye
I need confirmation of my refund,refund_status
My furniture arrived with visible damage,damaged_product
Let me speak to someone,human_agent
Can I pay with my store credit,payment_methods
Is the store open on weekends,store_location
"Hello, first time reaching out",greeting
Do you have morning support,business_hours
When was my order dispatched,order_status
Thank you for clarifying that,thank_you
I need to know where my order is,order_status
Ending this chat now,goodbye
Can I upgrade for just one month,subscription_upgrade
I want to know the expected delivery date,order_status
"Hello, can you assist me",greeting
I was told I'd get a refund in 3 days,refund_status
Please connect me to a human,human_agent
I'm frustrated about the delay in my refund,refund_status
The wrong variant was shipped,wrong_product
What are the product specifications,product_information
"Hello, anyone there",greeting
Can I pay offline,payment_methods
"Bye, I'll come back if I need more help",goodbye
Can you check if the refund was processed,refund_status
The transaction keeps failing,payment_failed
Please stop my order from being delivered,order_cancel
The shipping is taking too long,delivery_delay
The packaging was fine but the product is broken,damaged_product
Do you have evening support hours,business_hours
My temporary password expired,password_reset
I can't add a new address to my account,account_problem
I don't use the subscription enough to justify the cost,subscription_cancel
Please confirm my cancellation,subscription_cancel
The password reset link expired,password_reset
Do you accept international cards,payment_methods
I need more bandwidth on my plan,subscription_upgrade
It's been a week and I still don't have my refund,refund_status
What are the upgrade options,subscription_upgrade
Goodbye and good luck,goodbye
The mobile app is slow,technical_support
"Bye, you've been great",goodbye
Thank you for the information,thank_you
I need an update on my refund,refund_status
My password reset email went to spam,password_reset
Can I see the product reviews,product_information
Which outlet mall has your store,store_location
I got a product with a broken zipper,damaged_product
Why does my payment keep failing,payment_failed
Can I get a partial refund,refund_request
My order was mixed up with someone else's,wrong_product
"That was very helpful, thank you",thank_you
The delivery company lost my package,delivery_delay
How much will I be charged if I cancel early,subscription_cancel
I want to cancel one item from my order,order_cancel
"My order is wrong, I want to cancel",order_cancel
My reports aren't generating,technical_support
I received a product that's clearly been dropped,damaged_product
Ending the conversation now,goodbye
I need the tracking information for my order,order_status
I'm escalating this complaint,complaint
My package is lost in transit,delivery_delay
How soon does the upgrade take effect,subscription_upgrade
I placed an order but got no confirmation,order_status
Please provide an update on my recent order,order_status
I need a supervisor,human_agent
I ordered a wireless version but got wired,wrong_product
Thanks for helping me out,thank_you
Is there a tracking for refunds,refund_status
What's the status of order number 12345,order_status
I'm concerned my refund was lost,refund_status
Is cryptocurrency accepted,payment_methods
This is the third time I've had this problem,complaint
Where is your nearest store,store_location
I really appreciate it,thank_you
I want the address for returns at your store,store_location
My account was deactivated without notice,account_problem
I want to speak to a human,human_agent
Goodnight,goodbye
"Hello, I'd like some help please",greeting
The delivery delay is unacceptable,delivery_delay
Do you accept wire transfers,payment_methods
Is this product compatible with my device,product_information
Hi there,greeting
Can I pay cash on delivery,payment_methods
The update broke something,technical_support
"Thank you, have a great day",thank_you
Who invented the telephone,unknown
Does this product come with a warranty,product_information
My bank says they haven't received the refund,refund_status
My account is not working properly,account_problem
"Thanks, that solved my problem",thank_you
The product material is ripped,damaged_product
"Hi, I need help",greeting
Are you closed on Sundays,business_hours
Do you accept Venmo,payment_methods
Is there a store I can walk into,store_location
Tell me about this product,product_information
What are the Olympic sports,unknown
Tell me a fun fact,unknown
"That wraps things up, bye",goodbye
When exactly will my refund arrive,refund_status
"Hey, good to connect with you",greeting
My product has a dent,damaged_product
Can I speak to a customer service representative,human_agent
The integration isn't working,technical_support
My account sync failed,technical_support
Can I cancel an order that's already shipped,order_cancel
What is the longest river,unknown
What currencies do you accept,payment_methods
What credit cards do you accept,payment_methods
Why is my refund delayed,refund_status
My tracking says delivered but I didn't get it,order_status
I want a refund on my last three orders,refund_request
Thanks for the quick response,thank_you
Thanks for handling this so well,thank_you
I got charged but the order wasn't placed,payment_failed
"I'm satisfied, goodbye",goodbye
Can I upgrade only certain features,subscription_upgrade
Your product quality has deteriorated,complaint
I need directions to your store,store_location
I opened the box and the product was already broken,damaged_product
The item I received is cracked,damaged_product
What is a black hole,unknown
The product finish is peeling,damaged_product
I keep getting an authorization error,payment_failed
Do your hours change during holidays,business_hours
I demand better service,complaint
Thanks for everything,thank_you
I locked myself out by entering the wrong password too many times,password_reset
Does this product have any certifications,product_information
I forgot my password and my security questions,password_reset
I want to stop the delivery and cancel,order_cancel
There is a crack in the product that makes it unusable,damaged_product
Nobody seems to care about my issue,complaint
Is there a bundle deal available,product_information
Can you play a game with me,unknown
Why is the delivery taking so long,delivery_delay
I need to cancel before it ships,order_cancel
I'm cancelling because it's too expensive,subscription_cancel
Can you reset my password manually,password_reset
This is not what I ordered,wrong_product
The map feature isn't loading,technical_support
Do you have overnight support,business_hours
Is there a payment method fee,payment_methods
Tell me about your creators,unknown
Is there a fee for PayPal payments,payment_methods
Can I cancel a gift order,order_cancel
My item is bent out of shape,damaged_product
I entered my password correctly but it won't work,password_reset
I want to upgrade to get priority support,subscription_upgrade
I can't download the app,technical_support
Can I save my payment method,payment_methods
I want to compare plans before upgrading,subscription_upgrade
When can I reach you by phone,business_hours
What is artificial intelligence,unknown
What's 2 plus 2,unknown
When will my refund be processed,refund_status
What programming language should I learn,unknown
I need a refund for order 12345,refund_request
I ordered a combo pack but received only one item,wrong_product
The delivery date keeps changing,delivery_delay
I want to know when you shipped my items,order_status
I'm cancelling because the delivery is too slow,order_cancel
My account keeps showing errors when I try to edit,account_problem
I want the plan with unlimited access,subscription_upgrade
I got a refurbished item instead of new,wrong_product
"This product is not what I expected, I want a refund",refund_request
The notifications aren't working,technical_support
I'm having trouble with payment,payment_failed
"All good here, goodbye",goodbye
When does your ticket support start,business_hours
What does the order status processing mean,order_status
My electronic device has a dead pixel,damaged_product
Can I switch to a higher tier,subscription_upgrade
I want to add the analytics feature,subscription_upgrade
"I need a refund, the item was used",refund_request
I can't print from the application,technical_support
I need a refund for unused services,refund_request
How do I learn to play guitar,unknown
I want to cancel my student subscription,subscription_cancel
I can't type my password correctly,password_reset
Is Discover card accepted,payment_methods
Can you help me with homework,unknown
I was auto-renewed without my consent,subscription_cancel
Where is the closest pickup location,store_location
Do you offer buy now pay later,payment_methods
"Hi, I have a question",greeting
This is the wrong brand,wrong_product
When is your next business day,business_hours
My order hasn't arrived,delivery_delay
Where can I buy your products in person,store_location
What is the Internet of Things,unknown
Can you help me reset my password,password_reset
When will my order arrive,order_status
Thanks for the great service,thank_you
My order has been delayed twice now,delivery_delay
I want to enable passwordless login,password_reset
I want a refund because the size was wrong,refund_request
Is my order on its way,order_status
Where is my package right now,order_status
Do you have an outlet store,store_location
Please refund the shipping charges,refund_request
Can you sing a song,unknown
My refund is taking too long,refund_status
The amount was debited but I got a failure message,payment_failed
Where is my delivery,delivery_delay
I received a damaged product,damaged_product
I received the wrong color,wrong_product
Can you tell me my order status,order_status
Why haven't I received my refund yet,refund_status
